[2024-03-23T07:44:51.999+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.032s]
[2024-03-23T07:44:52.080+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.079s]
[2024-03-23T07:44:52.246+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.161s]
[2024-03-23T07:44:53.201+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.949s]
[2024-03-23T07:44:53.991+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.767s]
[2024-03-23T07:44:54.109+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.100s]
[2024-03-23T07:44:54.203+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.090s]
[2024-03-23T07:44:54.265+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.061s]
[2024-03-23T07:44:54.377+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.111s]
[2024-03-23T07:44:54.590+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.209s]
[2024-03-23T07:44:54.721+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.124s]
[2024-03-23T07:44:54.767+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.045s]
[2024-03-23T07:44:54.920+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.151s]
[2024-03-23T07:44:55.000+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.079s]
[2024-03-23T07:44:55.024+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.022s]
[2024-03-23T07:44:55.049+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.024s]
[2024-03-23T07:44:55.081+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.031s]
[2024-03-23T07:44:55.103+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.021s]
[2024-03-23T07:44:55.133+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.029s]
[2024-03-23T07:44:55.162+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.028s]
[2024-03-23T07:44:55.228+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.063s]
[2024-03-23T07:44:55.251+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.021s]
[2024-03-23T07:44:55.270+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.018s]
[2024-03-23T07:44:55.332+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.060s]
[2024-03-23T07:44:55.395+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.060s]
[2024-03-23T07:44:55.418+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.021s]
[2024-03-23T07:44:55.463+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.044s]
[2024-03-23T07:44:55.544+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.080s]
[2024-03-23T07:44:55.611+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.058s]
[2024-03-23T07:44:55.704+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.092s]
[2024-03-23T07:44:55.758+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.052s]
[2024-03-23T07:44:55.855+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.096s]
[2024-03-23T07:44:55.907+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.050s]
[2024-03-23T07:44:56.006+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.099s]
[2024-03-23T07:44:56.079+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.071s]
[2024-03-23T07:44:56.138+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.058s]
[2024-03-23T07:44:56.186+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.047s]
[2024-03-23T07:44:56.504+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.317s]
[2024-03-23T07:44:56.780+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.274s]
[2024-03-23T07:44:59.718+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:2.934s]
[2024-03-23T07:44:59.744+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.019s]
[2024-03-23T07:44:59.779+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.032s]
