[2024-03-23T07:44:55.759+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.055s]
[2024-03-23T07:44:55.868+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.108s]
[2024-03-23T07:44:55.956+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.087s]
[2024-03-23T07:44:56.079+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.122s]
[2024-03-23T07:44:56.151+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.070s]
[2024-03-23T07:44:56.504+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.353s]
[2024-03-23T07:44:56.844+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.338s]
[2024-03-23T07:44:59.744+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:2.895s]
[2024-03-23T07:44:59.783+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.021s]
[2024-03-23T07:44:59.846+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.060s]
[2024-03-23T07:44:59.866+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.020s]
[2024-03-23T07:44:59.883+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.016s]
[2024-03-23T07:44:59.913+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.025s]
[2024-03-23T07:44:59.931+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.016s]
[2024-03-23T07:44:59.957+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.025s]
[2024-03-23T07:44:59.975+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.016s]
[2024-03-23T07:45:00.000+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.024s]
[2024-03-23T07:45:00.141+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.139s]
